@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
7520,NO,NO,N2O,O,,,2.40e+03,6.20e+03,1.50e-11 * exp(-35000.00 / Tgas)
7521,NO,O2,NO2,O,,,7.80e+02,4.10e+04,2.80e-12 * exp(-23400.00 / Tgas)
7522,NO,OCN,N2,CO2,,,3.00e+02,3.00e+03,1.27e-10 * (Tgas / 3.0e2)**(-1.97) * exp(-560.00 / Tgas)
7523,NO,OCN,N2O,CO,,,2.90e+02,2.66e+03,3.47e-11 * (Tgas / 3.0e2)**(-1.33) * exp(-242.00 / Tgas)
7524,NO,S,NS,O,,,5.82e+02,4.10e+04,2.94e-11 * (Tgas / 3.0e2)**(0.50) * exp(-17465.00 / Tgas)
7525,NO,S,SO,N,,,2.42e+03,3.87e+03,1.75e-10 * exp(-20200.00 / Tgas)
7526,O2,OCN,CO2,NO,,,2.98e+02,2.98e+02,1.32e-12
7527,O2,OCN,NO2,CO,,,2.50e+01,3.00e+02,8.10e-11 * exp(-773.00 / Tgas)
7528,O2,S,SO,O,,,2.00e+02,3.46e+03,1.76e-12 * (Tgas / 3.0e2)**(0.81) * exp(--30.80 / Tgas)
7529,O2,SO,SO2,O,,,2.00e+02,2.98e+03,1.60e-13 * exp(-2280.00 / Tgas)
7530,O2H,O2H,H2O2,O2,,,2.00e+02,1.25e+03,1.00e-12
7531,O,C10,CO,C9,,,1.00e+01,3.00e+02,1.00e-10
7532,O,C10H,C9H,CO,,,1.00e+01,4.10e+04,1.70e-11
7533,O,C11,CO,C10,,,1.00e+01,4.10e+04,1.00e-10
7534,O,C2,CO,C,,,1.00e+01,8.00e+03,2.00e-10 * (Tgas / 3.0e2)**(-0.12)
7535,O,C2H2,CO,CH2,,,2.00e+02,2.50e+03,1.15e-12 * (Tgas / 3.0e2)**(1.40) * exp(-1110.00 / Tgas)
7536,O,C2H3,CH2CO,H,,,1.00e+01,2.50e+03,1.60e-10
7537,O,C2H4,C2H3,OH,,,2.90e+02,1.51e+03,1.35e-12 * (Tgas / 3.0e2)**(1.91) * exp(-1880.00 / Tgas)
7538,O,C2H4,CH2CO,H2,,,2.20e+02,2.00e+03,5.11e-14 * (Tgas / 3.0e2)**(1.88) * exp(-92.00 / Tgas)
7539,O,C2H4,H2CO,CH2,,,2.20e+02,2.00e+03,6.12e-13 * (Tgas / 3.0e2)**(1.88) * exp(-92.00 / Tgas)
7540,O,C2H4,HCO,CH3,,,2.20e+02,2.00e+03,3.57e-13 * (Tgas / 3.0e2)**(1.88) * exp(-92.00 / Tgas)
7541,O,C2H5,CH3CHO,H,,,1.70e+01,3.00e+02,1.21e-10 * (Tgas / 3.0e2)**(0.16)
7542,O,C2H5,H2CO,CH3,,,7.00e+00,9.50e+01,3.65e-10 * (Tgas / 3.0e2)**(0.18)
7543,O,C2H5,C2H4,OH,,,7.00e+00,9.50e+01,3.87e-12 * (Tgas / 3.0e2)**(0.13)
7544,O,C2H,CO,CH,,,1.00e+01,2.50e+03,1.00e-10
7545,O,C2N,CO,CN,,,2.98e+02,2.98e+02,6.00e-12
7546,O,C2O,CO,CO,,,2.95e+02,2.95e+02,8.59e-11
7547,O,C2S,CO,CS,,,1.00e+01,3.00e+02,1.00e-10
7548,O,C3,CO,C2,,,1.00e+01,3.00e+02,5.00e-12 * exp(-900.00 / Tgas)
7549,O,C3H,CO,C2H,,,1.00e+01,2.50e+03,1.00e-10
7550,O,C3N,C2N,CO,,,1.00e+01,3.00e+02,1.00e-10
7551,O,C3O,C2O,CO,,,1.00e+01,3.00e+02,5.00e-12 * exp(-900.00 / Tgas)
7552,O,C3P,CCP,CO,,,1.00e+01,3.00e+02,4.00e-11
7553,O,C4,C3,CO,,,1.00e+01,3.00e+02,1.00e-10
7554,O,C4H,C3H,CO,,,1.00e+01,3.00e+02,1.70e-11
7555,O,C4N,C3N,CO,,,1.00e+01,3.00e+02,6.00e-12
7556,O,C4P,C3P,CO,,,1.00e+01,3.00e+02,1.00e-11
7557,O,C5,C4,CO,,,1.00e+01,3.00e+02,5.00e-12 * exp(-900.00 / Tgas)
7558,O,C5H,C4H,CO,,,1.00e+01,3.00e+02,1.70e-11
7559,O,C5N,C4N,CO,,,1.00e+01,3.00e+02,4.00e-11
7560,O,C6,C5,CO,,,1.00e+01,3.00e+02,1.00e-10
7561,O,C6H,C5H,CO,,,1.00e+01,3.00e+02,1.70e-11
7562,O,C7,C6,CO,,,1.00e+01,3.00e+02,5.00e-12 * exp(-900.00 / Tgas)
7563,O,C7H,C6H,CO,,,1.00e+01,3.00e+02,1.70e-11
7564,O,C7N,C6,OCN,,,1.00e+01,3.00e+02,4.00e-11
7565,O,C8,C7,CO,,,1.00e+01,3.00e+02,1.00e-10
7566,O,C8H,C7H,CO,,,1.00e+01,3.00e+02,1.70e-11
7567,O,C9,C8,CO,,,1.00e+01,3.00e+02,5.00e-12 * exp(-900.00 / Tgas)
7568,O,C9H,C8H,CO,,,1.00e+01,3.00e+02,1.70e-11
7569,O,C9N,C8,OCN,,,1.00e+01,3.00e+02,4.00e-11
7570,O,CCP,CP,CO,,,1.00e+01,3.00e+02,6.00e-12
7571,O,CCl,Cl,CO,,,1.00e+01,2.50e+03,9.96e-11
7572,O,CCl,ClO,C,,,3.00e+02,2.50e+03,1.38e-10 * exp(-16050.00 / Tgas)
7573,O,Cl2,ClO,Cl,,,2.45e+02,3.75e+02,7.40e-12 * exp(-1650.00 / Tgas)
7574,O,CH2Cl,CO,H,HCl,,1.00e+01,2.00e+02,8.67e-11
7575,O,CH2Cl,H2CO,Cl,,,1.00e+01,2.00e+02,4.33e-11
7576,O,CH2CCH2,CH2,CH2CO,,,2.00e+02,1.00e+03,1.27e-11 * (Tgas / 3.0e2)**(-0.09) * exp(-798.70 / Tgas)
7577,O,CH2CCH2,CO,C2H4,,,2.00e+02,1.00e+03,2.30e-12 * (Tgas / 3.0e2)**(2.04) * exp(-90.50 / Tgas)
7578,O,CH2CCH2,HCO,C2H3,,,2.00e+02,1.00e+03,2.11e-12 * (Tgas / 3.0e2)**(2.04) * exp(-90.50 / Tgas)
7579,O,CH3CHCH2,CH2CO,CH3,H,,2.90e+02,4.50e+02,1.01e-11 * exp(-280.00 / Tgas)
7580,O,CH2PH,PH2,CO,H,,1.00e+01,3.00e+02,4.00e-11
7581,O,CH4,OH,CH3,,,2.98e+02,2.50e+03,2.29e-12 * (Tgas / 3.0e2)**(2.20) * exp(-3820.00 / Tgas)
7582,O,CN,CO,N,,,1.00e+01,2.94e+02,2.54e-11
7583,O,CN,NO,C,,,2.00e+02,5.00e+03,5.37e-11 * exp(-13750.00 / Tgas)
7584,O,CNO,CO,NO,,,1.00e+01,3.00e+02,1.00e-10
7585,O,CO2,O2,CO,,,3.00e+02,2.50e+03,2.81e-11 * exp(-26567.00 / Tgas)
7586,O,CP,P,CO,,,1.00e+01,3.00e+02,4.00e-11
7587,O,CS,S,CO,,,1.50e+02,3.00e+02,2.70e-10 * exp(-760.00 / Tgas)
7588,O,CS,SO,C,,,9.64e+02,4.10e+04,4.68e-11 * (Tgas / 3.0e2)**(0.50) * exp(-28940.00 / Tgas)
7589,O,ClO,Cl,O2,,,2.00e+02,3.00e+02,3.80e-11
7590,O,H2CCC,CO,C2H2,,,1.00e+01,3.00e+02,5.00e-11 * (Tgas / 3.0e2)**(0.50)
7591,O,H2CN,OCN,H2,,,1.00e+01,3.00e+02,1.00e-10
7592,O,H2CO,HCO,OH,,,2.50e+02,2.20e+03,1.78e-11 * (Tgas / 3.0e2)**(0.57) * exp(-139.00 / Tgas)
7593,O,CH3O,H2CO,OH,,,1.00e+01,4.10e+03,1.00e-11
7594,O,CH2OH,H2CO,OH,,,3.00e+02,2.50e+03,7.00e-11
7595,O,CH3OH,CH2OH,OH,,,2.98e+02,1.00e+03,2.71e-11 * exp(-2530.00 / Tgas)
7596,O,CH3OH,CH3O,OH,,,3.00e+02,1.00e+03,1.66e-11 * exp(-2360.00 / Tgas)
7597,O,CH3OCH2,HCOOCH3,H,,,2.13e+02,3.63e+02,2.56e-10 * (Tgas / 3.0e2)**(0.15)
7598,O,H2O2,O2H,OH,,,2.80e+02,3.90e+02,1.40e-12 * exp(-2000.00 / Tgas)
7599,O,H2O,OH,OH,,,3.00e+02,2.50e+03,1.85e-11 * (Tgas / 3.0e2)**(0.95) * exp(-8571.00 / Tgas)
7600,O,H2S,HS,OH,,,2.90e+02,5.00e+02,1.40e-11 * exp(-1920.00 / Tgas)
7601,O,HC2P,HCP,CO,,,1.00e+01,3.00e+02,4.00e-11
7602,O,HCN,CN,OH,,,5.00e+02,2.50e+03,1.44e-12 * (Tgas / 3.0e2)**(1.47) * exp(-3800.00 / Tgas)
7603,O,HCN,CO,NH,,,5.00e+02,2.50e+03,8.69e-13 * (Tgas / 3.0e2)**(1.21) * exp(-3850.00 / Tgas)
7604,O,HCN,OCN,H,,,5.00e+02,2.50e+03,3.69e-11 * (Tgas / 3.0e2)**(1.58) * exp(-13400.00 / Tgas)
7605,O,HCO,CO2,H,,,1.00e+01,2.50e+03,5.00e-11
7606,O,HCO,CO,OH,,,1.00e+01,2.50e+03,5.00e-11
7607,O,HCP,PH,CO,,,1.00e+01,3.00e+02,3.61e-13 * (Tgas / 3.0e2)**(2.10) * exp(-3080.00 / Tgas)
7608,O,HCS,HS,CO,,,1.00e+01,3.00e+02,5.00e-11
7609,O,HCS,OCS,H,,,1.00e+01,3.00e+02,5.00e-11
7610,O,HCSi,SiO,CH,,,1.00e+01,3.00e+02,2.00e-11
7611,O,HNC,CO,NH,,,1.50e+03,2.40e+03,7.64e-12 * exp(-1125.00 / Tgas)
7612,O,HNO,NO2,H,,,1.00e+01,3.00e+02,1.00e-12
7613,O,HNO,NO,OH,,,1.00e+01,2.98e+02,3.80e-11 * (Tgas / 3.0e2)**(-0.08)
7614,O,HNO,O2,NH,,,1.16e+02,3.00e+02,2.94e-12 * (Tgas / 3.0e2)**(0.50) * exp(-3500.00 / Tgas)
7615,O,HPO,PO,OH,,,1.00e+01,3.00e+02,3.80e-11
7616,O,HS,S,OH,,,2.98e+02,2.50e+03,1.74e-11 * (Tgas / 3.0e2)**(0.67) * exp(-956.00 / Tgas)
7617,O,HS,SO,H,,,2.98e+02,2.00e+03,1.74e-10 * (Tgas / 3.0e2)**(-0.20) * exp(-5.70 / Tgas)
7618,O,N2,NO,N,,,2.40e+03,4.10e+03,3.01e-10 * exp(-38300.00 / Tgas)
7619,O,N2O,NO,NO,,,1.21e+03,4.10e+03,1.10e-10 * exp(-13400.00 / Tgas)
7620,O,N2O,O2,N2,,,1.21e+03,4.10e+03,1.69e-10 * exp(-14100.00 / Tgas)
7621,O,NH2,HNO,H,,,1.00e+01,3.00e+03,6.30e-11 * (Tgas / 3.0e2)**(-0.10)
7622,O,NH2,OH,NH,,,1.00e+01,3.00e+03,7.00e-12 * (Tgas / 3.0e2)**(-0.10)
7623,O,NH3,OH,NH2,,,5.00e+02,2.50e+03,1.60e-11 * exp(-3670.00 / Tgas)
7624,O,NO2,O2,NO,,,2.00e+02,2.50e+03,9.82e-12 * (Tgas / 3.0e2)**(-0.21) * exp(-5.20 / Tgas)
7625,O,NO,O2,N,,,2.00e+02,5.00e+03,8.99e-13 * exp(-19500.00 / Tgas)
7626,O,NS,S,NO,,,1.00e+01,3.00e+02,1.00e-10
7627,O,NS,SO,N,,,1.33e+02,3.00e+02,1.00e-11
7628,O,O2H,O2,OH,,,2.00e+02,2.50e+03,5.76e-11 * (Tgas / 3.0e2)**(-0.30) * exp(-7.50 / Tgas)
7629,O,OCN,CO,NO,,,5.00e+02,2.50e+03,7.51e-11
7630,O,OCN,O2,CN,,,5.00e+02,2.50e+03,4.01e-10 * (Tgas / 3.0e2)**(-1.43) * exp(-3500.00 / Tgas)
7631,O,OCS,CO2,S,,,1.20e+03,1.90e+03,8.30e-11 * exp(-5530.00 / Tgas)
7632,O,OCS,SO,CO,,,2.30e+02,5.00e+02,1.60e-11 * exp(-2150.00 / Tgas)
7633,O,OH,O2,H,,,1.00e+01,5.00e+02,3.69e-11 * (Tgas / 3.0e2)**(-0.27) * exp(-12.90 / Tgas)
7634,O,PH2,HPO,H,,,1.00e+01,3.00e+02,8.00e-11
7635,O,PH2,PH,OH,,,1.00e+01,3.00e+02,2.00e-11
7636,O,PH2,PO,H2,,,1.00e+01,3.00e+02,4.00e-11
7637,O,PH,PO,H,,,1.00e+01,3.00e+02,1.00e-10
7638,O,S2,SO,S,,,2.98e+02,2.50e+03,1.66e-11
7639,O,SO2,SO,O2,,,4.40e+02,3.00e+03,8.30e-12 * exp(-9800.00 / Tgas)
7640,O,SO,S,O2,,,9.20e+01,3.00e+02,6.60e-13 * exp(-2760.00 / Tgas)
7641,O,SiC2,SiC,CO,,,1.00e+01,3.00e+02,4.00e-11
7642,O,SiC3,SiC2,CO,,,1.00e+01,3.00e+02,4.00e-11
7643,O,SiC4,SiC3,CO,,,1.00e+01,3.00e+02,4.00e-11
7644,O,SiC,Si,CO,,,1.00e+01,3.00e+02,5.00e-11
7645,O,SiC,SiO,C,,,1.00e+01,3.00e+02,5.00e-11
7646,O,SiH2,SiO,H2,,,1.00e+01,3.00e+02,8.00e-11
7647,O,SiH2,SiO,H,H,,1.00e+01,3.00e+02,1.20e-10
7648,O,SiH3,H2SiO,H,,,1.00e+01,3.00e+03,2.16e-10 * exp(-1005.00 / Tgas)
7649,O,SiH4,SiH3,OH,,,3.00e+02,1.00e+03,6.64e-12 * exp(-800.00 / Tgas)
7650,O,SiH,SiO,H,,,1.00e+01,3.00e+02,1.00e-10
7651,O,HSiO,SiO,OH,,,8.73e+02,2.50e+03,1.66e-10
7652,O,SiOH,SiO,OH,,,8.73e+02,2.50e+03,1.66e-10
7653,O,SiN,NO,Si,,,1.00e+01,3.00e+02,5.00e-11
7654,O,SiN,SiO,N,,,1.78e+03,3.56e+03,6.64e-11 * (Tgas / 3.0e2)**(0.10) * exp(-200.00 / Tgas)
7655,O,SiNC,SiN,CO,,,1.00e+01,3.00e+02,1.00e-11
7656,OH,C2H2,C2H,H2O,,,3.00e+02,2.50e+03,1.05e-13 * (Tgas / 3.0e2)**(2.68) * exp(-6060.00 / Tgas)
7657,OH,C2H2,CH2CO,H,,,8.00e+02,2.20e+03,4.12e-11 * (Tgas / 3.0e2)**(0.11) * exp(-5565.00 / Tgas)
7658,OH,C2H2,CO,CH3,,,5.00e+02,2.50e+03,4.75e-17 * (Tgas / 3.0e2)**(3.16) * exp(--128.00 / Tgas)
7659,OH,C2H3,C2H2,H2O,,,1.00e+01,2.50e+03,5.00e-11
7660,OH,C2H5,C2H4,H2O,,,1.00e+01,2.50e+03,4.00e-11
7661,OH,C2H5,CH3CH3,O,,,2.98e+02,1.50e+03,1.04e-18 * (Tgas / 3.0e2)**(8.80) * exp(-250.00 / Tgas)
7662,OH,CN,HCN,O,,,5.00e+02,2.50e+03,1.00e-11 * exp(-1000.00 / Tgas)
7663,OH,CN,OCN,H,,,5.00e+02,2.50e+03,7.00e-11
7664,OH,CO,CO2,H,,,8.00e+01,3.15e+03,2.81e-13 * exp(-176.00 / Tgas)
7665,OH,CS,CO,HS,,,1.00e+01,3.00e+02,3.00e-11
7666,OH,CS,H,OCS,,,1.00e+01,3.00e+02,1.70e-10
7667,OH,F,HF,O,,,1.00e+01,3.00e+02,1.60e-10
7668,OH,H2CO,HCO,H2O,,,2.20e+01,3.00e+02,7.73e-12 * (Tgas / 3.0e2)**(-1.03)
7669,OH,H2CO,HCOOH,H,,,2.98e+02,2.98e+02,2.00e-13
7670,OH,CH3O,H2CO,H2O,,,1.00e+01,4.10e+03,3.01e-11
7671,OH,CH2OH,H2CO,H2O,,,3.00e+02,2.50e+03,4.00e-11
7672,OH,H2O2,O2H,H2O,,,3.00e+02,2.50e+03,2.91e-12 * exp(-160.00 / Tgas)
7673,OH,H2S,HS,H2O,,,2.00e+02,5.20e+02,6.10e-12 * exp(-80.00 / Tgas)
7674,OH,HCN,CN,H2O,,,2.98e+02,2.84e+03,1.86e-13 * (Tgas / 3.0e2)**(1.50) * exp(-3887.00 / Tgas)
7675,OH,HCN,CO,NH2,,,5.00e+02,2.50e+03,1.07e-13 * exp(-5892.00 / Tgas)
7676,OH,HCO,CO,H2O,,,1.00e+01,2.50e+03,1.70e-10
7677,OH,HNC,HNCO,H,,,1.50e+03,2.40e+03,4.65e-11 * exp(-1860.00 / Tgas)
7678,OH,HNO,NO,H2O,,,1.00e+01,4.00e+03,6.17e-12 * (Tgas / 3.0e2)**(1.23) * exp(--44.30 / Tgas)
7679,OH,N2O,HNO,NO,,,1.00e+03,5.00e+03,1.04e-17 * (Tgas / 3.0e2)**(4.33) * exp(-12623.00 / Tgas)
7680,OH,N2O,O2H,N2,,,1.00e+03,5.00e+03,1.06e-14 * (Tgas / 3.0e2)**(4.72) * exp(-18400.00 / Tgas)
7681,OH,NCCN,HCN,OCN,,,3.00e+02,5.50e+02,3.11e-13 * exp(-1450.00 / Tgas)
7682,OH,NH3,H2O,NH2,,,2.20e+01,2.25e+02,2.30e-13 * (Tgas / 3.0e2)**(-1.82)
7683,OH,NO,NO2,H,,,5.03e+02,4.10e+04,5.20e-12 * exp(-15100.00 / Tgas)
7684,OH,O2H,O2,H2O,,,1.00e+01,2.50e+03,8.58e-11 * (Tgas / 3.0e2)**(-0.56) * exp(-14.80 / Tgas)
7685,OH,OH,H2O,O,,,2.00e+02,2.50e+03,1.65e-12 * (Tgas / 3.0e2)**(1.14) * exp(-50.00 / Tgas)
7686,OH,CH3Cl,H2O,CH2Cl,,,1.00e+01,3.00e+02,2.10e-12 * exp(-1210.00 / Tgas)
7687,OH,S,SO,H,,,2.98e+02,2.98e+02,6.59e-11
7688,OH,SO,SO2,H,,,2.98e+02,2.98e+02,8.40e-11
7689,OH,Si,SiO,H,,,1.78e+03,3.56e+03,3.32e-10
7690,OH,SiO,SiO2,H,,,1.00e+03,2.50e+03,2.55e-12 * (Tgas / 3.0e2)**(0.78) * exp(-613.00 / Tgas)
7691,OH,HSiO,SiO,H2O,,,8.73e+02,2.50e+03,1.66e-10
7692,OH,SiOH,SiO,H2O,,,8.73e+02,2.50e+03,1.66e-10
7693,OH,H2SiO,HSiO,H2O,,,8.73e+02,8.73e+02,6.25e-12 * exp(-85.40 / Tgas)
7694,OH,H2SiO,SiOH,H2O,,,8.73e+02,8.73e+02,6.25e-12 * exp(-85.40 / Tgas)
7695,OH,SiH3,H2SiO,H2,,,8.73e+02,8.73e+02,8.30e-12
7696,OH,HSiS,SiS,H2O,,,1.00e+01,4.10e+04,2.00e-10
7697,F,CH4,CH3,HF,,,1.00e+01,4.10e+02,1.30e-10 * exp(-215.00 / Tgas)
7698,F,H2CO,HCO,HF,,,1.00e+01,3.00e+02,6.59e-11
7699,F,NH3,NH2,HF,,,2.50e+02,3.70e+02,2.49e-10 * exp(-650.00 / Tgas)
7700,F,CH3CH3,C2H5,HF,,,1.90e+02,3.00e+02,1.95e-10 * exp(-180.00 / Tgas)
7701,F,CH3OH,CH3O,HF,,,1.00e+01,1.00e+03,9.97e-11 * (Tgas / 3.0e2)**(0.50)
7702,F,CH3OH,CH2OH,HF,,,1.00e+01,1.00e+03,6.90e-11 * (Tgas / 3.0e2)**(0.27)
7703,F,CH3O,H2CO,HF,,,1.00e+01,3.00e+02,1.30e-10
7704,F,CH2OH,H2CO,HF,,,1.00e+01,3.00e+02,1.30e-10
7705,F,CH3Cl,HF,CH2Cl,,,1.00e+01,3.60e+02,3.30e-11 * exp(--23.70 / Tgas)
7706,F,CH3OCH3,CH3OCH2,HF,,,2.43e+02,3.63e+02,1.83e-10 * (Tgas / 3.0e2)**(0.65)
7707,Cl,CH4,CH3,HCl,,,2.00e+02,3.00e+02,6.60e-12 * exp(-1240.00 / Tgas)
7708,Cl,CH2OH,H2CO,HCl,,,1.00e+01,3.00e+02,6.64e-10
7709,Cl,CH3OH,CH2OH,HCl,,,1.00e+01,5.00e+02,5.50e-11
7710,Cl,H2CO,HCO,HCl,,,2.00e+02,5.00e+02,8.20e-11 * exp(-34.00 / Tgas)
7711,Cl,CH3OH,CH3O,HCl,,,1.00e+01,3.00e+02,5.60e-11
7712,Cl,NH3,NH2,HCl,,,2.90e+02,5.66e+02,1.08e-11 * exp(-1370.00 / Tgas)
7713,Cl,O2H,OH,ClO,,,2.30e+02,3.60e+02,8.60e-11 * exp(-600.00 / Tgas)
7714,Cl,CH3CH3,C2H5,HCl,,,4.80e+01,1.00e+03,5.91e-11 * (Tgas / 3.0e2)**(0.27) * exp(-14.00 / Tgas)
7715,Cl,CH3Cl,HCl,CH2Cl,,,1.00e+01,3.60e+02,2.30e-11 * exp(-1150.00 / Tgas)
7716,P,OH,PO,H,,,1.00e+01,2.50e+03,6.10e-11 * (Tgas / 3.0e2)**(-0.23) * exp(-14.90 / Tgas)
7717,P,O2,PO,O,,,3.00e+02,2.50e+03,1.00e-13
7718,P,CN,PN,C,,,1.00e+01,2.50e+03,3.00e-10
7719,S,C2O,CO,CS,,,1.00e+01,3.00e+02,1.00e-10
7720,S,HCO,H,OCS,,,1.00e+01,3.00e+02,8.00e-11
7721,S,HCO,HS,CO,,,1.00e+01,3.00e+02,4.00e-11
7722,S,HS,S2,H,,,1.00e+01,3.00e+02,4.50e-11
7723,S,SO2,SO,SO,,,1.25e+03,1.60e+03,9.76e-12 * exp(-4545.00 / Tgas)
7724,S,SO,S2,O,,,3.83e+02,4.10e+04,1.73e-11 * (Tgas / 3.0e2)**(0.50) * exp(-11500.00 / Tgas)
7725,Si,HS,SiS,H,,,1.00e+01,4.10e+04,8.36e-11 * (Tgas / 3.0e2)**(-0.61) * exp(-11.18 / Tgas)
7726,Si,H2S,SiS,H2,,,1.00e+01,3.00e+02,2.00e-10
7727,Si,H2S,HSiS,H,,,1.00e+01,3.00e+02,1.00e-11
7728,Si,CO2,SiO,CO,,,2.10e+03,3.16e+03,9.96e-10 * exp(-942.00 / Tgas)
7729,Si,CO,SiO,C,,,2.72e+03,5.19e+03,1.30e-09 * exp(-34513.00 / Tgas)
7730,Si,NO,SiO,N,,,1.00e+01,3.00e+02,9.00e-11 * (Tgas / 3.0e2)**(-0.96) * exp(-28.00 / Tgas)
7731,Si,O2,SiO,O,,,1.00e+01,3.00e+02,1.72e-10 * (Tgas / 3.0e2)**(-0.53) * exp(-17.00 / Tgas)
7732,O,SiS,SiO,S,,,5.00e+01,2.50e+03,9.53e-11 * (Tgas / 3.0e2)**(0.29) * exp(--32.00 / Tgas)
7733,O,HSiS,SiS,OH,,,1.00e+01,4.10e+04,2.00e-10
7734,Si,SO,SiO,S,,,1.00e+02,2.50e+03,1.53e-10 * (Tgas / 3.0e2)**(-0.11) * exp(-32.00 / Tgas)
7735,Si,SO,SiS,O,,,1.00e+02,2.50e+03,1.77e-11 * (Tgas / 3.0e2)**(0.16) * exp(--20.00 / Tgas)
7736,Si,SO2,SiO,SO,,,1.00e+02,2.50e+03,1.00e-10
7737,Si,SO2,SiS,O2,,,1.00e+02,2.50e+03,1.00e-10
7738,SiH,S,SiS,H,,,1.00e+02,2.50e+03,1.00e-10
7739,SiH,S2,SiS,HS,,,1.00e+02,2.50e+03,1.00e-10
7740,SiH,H2O,SiOH,H2,,,2.00e+02,3.00e+03,3.64e-14 * (Tgas / 3.0e2)**(2.46) * exp(-1748.90 / Tgas)
7741,SiH,H2O,SiOH,H2,,,2.00e+02,3.00e+03,7.56e-16 * (Tgas / 3.0e2)**(2.75) * exp(-48.04 / Tgas)
7742,SiH,H2O,HSiO,H2,,,2.00e+02,3.00e+03,1.49e-15 * (Tgas / 3.0e2)**(2.13) * exp(-2949.00 / Tgas)
7743,SiH,H2O,HSiO,H2,,,2.00e+02,3.00e+03,3.27e-17 * (Tgas / 3.0e2)**(2.57) * exp(-987.76 / Tgas)
7744,SiH,H2O,H2SiO,H,,,2.00e+02,3.00e+03,1.70e-15 * (Tgas / 3.0e2)**(3.28) * exp(-2175.40 / Tgas)
7745,SiH,H2O,H2SiO,H,,,2.00e+02,3.00e+03,5.33e-17 * (Tgas / 3.0e2)**(3.57) * exp(-454.71 / Tgas)
7746,SiH,H2S,H2SiS,H,,,1.00e+01,3.00e+02,3.00e-10
7747,SiH,H2S,HSiS,H2,,,1.00e+01,3.00e+02,3.00e-10
7748,O,H2SiS,HSiS,OH,,,1.00e+01,4.10e+04,2.00e-10
7749,C,H2SiS,SiS,CH2,,,1.00e+01,4.10e+04,2.00e-10
7750,OH,H2SiS,HSiS,H2O,,,1.00e+01,4.10e+04,2.00e-10
7751,Al,CO2,AlO,CO,,,2.98e+02,1.22e+03,2.89e-10 * exp(-3221.00 / Tgas)
7752,Al,O2,AlO,O,,,2.30e+01,1.08e+03,1.27e-10 * (Tgas / 3.0e2)**(-0.25) * exp(--7.30 / Tgas)
7753,Al,H2O,AlOH,H,,,2.50e+02,1.20e+03,1.50e-10 * exp(-2657.00 / Tgas)
7754,Al,H2O,AlOH,H,,,2.50e+02,1.20e+03,1.70e-12 * exp(-422.00 / Tgas)
7755,Al,Cl2,AlCl,Cl,,,4.25e+02,8.75e+02,7.90e-10 * exp(-780.00 / Tgas)
7756,Al,HCl,AlCl,H,,,4.75e+02,1.28e+03,1.50e-10 * exp(-800.00 / Tgas)
7757,AlCl,Cl2,AlCl2,Cl,,,4.00e+02,1.02e+03,9.60e-11 * exp(-610.00 / Tgas)
7758,AlHCl2,H,AlHCl,HCl,,,1.00e+01,4.10e+04,6.62e-12 * (Tgas / 3.0e2)**(1.64) * exp(-10610.00 / Tgas)
7759,AlHCl2,H,AlCl2,H2,,,1.00e+01,4.10e+04,5.34e-12 * (Tgas / 3.0e2)**(1.78) * exp(-318.00 / Tgas)
7760,AlCl3,H,AlCl2,HCl,,,1.00e+01,4.10e+04,1.41e-11 * (Tgas / 3.0e2)**(1.63) * exp(-10321.00 / Tgas)
7761,AlH3,Cl,AlH2,HCl,,,1.00e+01,4.10e+04,4.10e-11 * (Tgas / 3.0e2)**(1.50)
7762,AlH3,H,AlH2,H2,,,1.00e+01,4.10e+04,4.10e-11 * (Tgas / 3.0e2)**(1.50)
7763,AlH2Cl,H,AlHCl,H2,,,1.00e+01,4.10e+04,2.73e-11 * (Tgas / 3.0e2)**(1.50)
7764,AlH2Cl,Cl,AlHCl,HCl,,,1.00e+01,4.10e+04,2.73e-11 * (Tgas / 3.0e2)**(1.50)
7765,AlHCl2,Cl,AlCl2,HCl,,,1.00e+01,4.10e+04,1.37e-11 * (Tgas / 3.0e2)**(1.50)
7766,AlHCl,Cl2,AlHCl2,Cl,,,1.00e+01,4.10e+04,4.49e-14 * (Tgas / 3.0e2)**(3.00)
7767,AlCl2,Cl2,AlCl3,Cl,,,1.00e+01,4.10e+04,4.49e-14 * (Tgas / 3.0e2)**(3.00)
7768,AlH2,HCl,AlH2Cl,H,,,1.00e+01,4.10e+04,4.49e-14 * (Tgas / 3.0e2)**(3.00)
7769,AlH,H,Al,H2,,,1.00e+01,4.10e+04,1.70e-11
7770,AlH,Cl,AlCl,H,,,1.00e+01,4.10e+04,1.70e-11
7771,AlH,Cl,Al,HCl,,,1.00e+01,4.10e+04,1.70e-11
7772,AlH2,H,AlH,H2,,,1.00e+01,4.10e+04,3.30e-11
7773,AlH2,Cl,AlH,HCl,,,1.00e+01,4.10e+04,3.30e-11
7774,AlHCl,H,AlCl,H2,,,1.00e+01,4.10e+04,1.70e-11
7775,AlHCl,Cl,AlCl,HCl,,,1.00e+01,4.10e+04,1.70e-11
